@relation ECGFeature106
@attribute RRinterval_current numeric
@attribute RRinterval_previous numeric
@attribute class {N,V}

@data
1.017,1.089,N
1.039,1.017,N
1.022,1.039,N
1.025,1.022,N
0.958,1.025,N
1.056,0.958,N
1.097,1.056,N
1.083,1.097,N
0.953,1.083,N
0.961,0.953,N
1.081,0.961,N
1.136,1.081,N
1.05,1.136,N
1.067,1.05,N
1.064,1.067,N
1.025,1.064,N
1.052,1.025,N
1.1,1.052,N
1.023,1.1,N
0.986,1.023,N
0.969,0.986,N
0.928,0.969,N
1.008,0.928,N
1.092,1.008,N
1.083,1.092,N
0.942,1.083,N
0.972,0.942,N
1.02,0.972,N
1.075,1.02,N
0.955,1.075,N
0.931,0.955,N
0.955,0.931,N
0.961,0.955,N
0.934,0.961,N
0.991,0.934,N
1.142,0.991,N
1.047,1.142,N
1.028,1.047,N
1.036,1.028,N
0.939,1.036,N
1.036,0.939,N
1.1,1.036,N
1.058,1.1,N
0.959,1.058,N
1.014,0.959,N
1.036,1.014,N
1.055,1.036,N
1.117,1.055,N
1.103,1.117,N
1.022,1.103,N
0.969,1.022,N
0.975,0.969,N
0.945,0.975,N
0.911,0.945,N
0.961,0.911,N
1.108,0.961,N
1.014,1.108,N
1.103,1.014,N
1.075,1.103,N
1.067,1.075,N
1.033,1.067,N
0.911,1.033,N
0.934,0.911,N
1.0,0.934,N
0.988,1.0,N
1.1,0.988,N
1.087,1.1,N
0.986,1.087,N
1.019,0.986,N
1.033,1.019,N
1.109,1.033,N
1.03,1.109,N
1.014,1.03,N
0.986,1.014,N
0.923,0.986,N
1.005,0.923,N
1.108,1.005,N
1.056,1.108,N
1.028,1.056,N
0.944,1.028,N
0.989,0.944,N
1.075,0.989,N
1.028,1.075,N
1.033,1.028,N
1.006,1.033,N
0.93,1.006,N
0.964,0.93,N
1.014,0.964,N
1.006,1.014,N
1.044,1.006,N
1.028,1.044,N
0.928,1.028,N
0.966,0.928,N
0.975,0.966,N
0.953,0.975,N
1.003,0.953,N
0.992,1.003,N
0.986,0.992,N
0.991,0.986,N
0.959,0.991,N
1.005,0.959,N
0.934,1.005,N
0.966,0.934,N
0.992,0.966,N
1.003,0.992,N
0.93,1.003,N
1.006,0.93,N
1.047,1.006,N
0.992,1.047,N
0.908,0.992,N
0.864,0.908,N
0.908,0.864,N
0.889,0.908,N
0.903,0.889,N
0.858,0.903,N
0.906,0.858,N
1.033,0.906,N
1.053,1.033,N
1.075,1.053,N
1.03,1.075,N
1.023,1.03,N
0.964,1.023,N
0.927,0.964,N
0.886,0.927,N
0.912,0.886,N
1.022,0.912,N
1.15,1.022,N
1.069,1.15,N
0.959,1.069,N
0.983,0.959,N
1.094,0.983,N
1.109,1.094,N
1.094,1.109,N
0.997,1.094,N
0.989,0.997,N
1.047,0.989,N
1.078,1.047,N
1.05,1.078,N
0.986,1.05,N
0.839,0.986,N
0.814,0.839,N
0.839,0.814,N
0.897,0.839,N
0.872,0.897,N
0.873,0.872,N
0.852,0.873,N
0.795,0.852,N
0.755,0.795,N
0.762,0.755,N
0.775,0.762,N
0.8,0.775,N
0.766,0.8,N
0.778,0.766,N
0.764,0.778,N
0.728,0.764,N
0.716,0.728,N
0.686,0.716,N
0.734,0.686,N
0.783,0.734,N
0.836,0.783,N
0.936,0.836,N
1.0,0.936,N
0.478,1.0,V
1.17,0.478,N
0.947,1.17,N
0.928,0.947,N
0.905,0.928,N
0.97,0.905,N
0.983,0.97,N
0.489,0.983,V
1.15,0.489,N
0.941,1.15,N
1.0,0.941,N
0.964,1.0,N
0.892,0.964,N
0.903,0.892,N
0.947,0.903,N
0.975,0.947,N
0.964,0.975,N
0.886,0.964,N
0.85,0.886,N
0.844,0.85,N
0.923,0.844,N
0.93,0.923,N
0.956,0.93,N
1.003,0.956,N
1.025,1.003,N
0.947,1.025,N
0.905,0.947,N
0.889,0.905,N
0.928,0.889,N
1.042,0.928,N
0.994,1.042,N
0.928,0.994,N
0.905,0.928,N
0.962,0.905,N
1.027,0.962,N
1.009,1.027,N
0.961,1.009,N
0.969,0.961,N
0.947,0.969,N
0.889,0.947,N
0.875,0.889,N
0.898,0.875,N
0.919,0.898,N
0.831,0.919,N
0.841,0.831,N
0.814,0.841,N
0.797,0.814,N
0.87,0.797,N
0.88,0.87,N
0.878,0.88,N
0.872,0.878,N
0.798,0.872,N
0.752,0.798,N
0.828,0.752,N
0.858,0.828,N
0.937,0.858,N
0.958,0.937,N
0.903,0.958,N
0.855,0.903,N
0.867,0.855,N
0.889,0.867,N
0.941,0.889,N
1.0,0.941,N
1.0,1.0,N
0.917,1.0,N
0.875,0.917,N
0.883,0.875,N
0.889,0.883,N
0.889,0.889,N
0.92,0.889,N
0.95,0.92,N
0.944,0.95,N
0.872,0.944,N
0.889,0.872,N
0.945,0.889,N
1.005,0.945,N
0.981,1.005,N
0.95,0.981,N
0.964,0.95,N
0.905,0.964,N
0.909,0.905,N
1.0,0.909,N
0.952,1.0,N
0.995,0.952,N
0.944,0.995,N
0.895,0.944,N
0.905,0.895,N
0.881,0.905,N
0.889,0.881,N
0.88,0.889,N
0.917,0.88,N
0.85,0.917,N
0.883,0.85,N
0.961,0.883,N
1.009,0.961,N
1.019,1.009,N
1.022,1.019,N
0.986,1.022,N
0.912,0.986,N
0.927,0.912,N
0.961,0.927,N
0.953,0.961,N
0.975,0.953,N
0.972,0.975,N
0.903,0.972,N
0.897,0.903,N
0.995,0.897,N
1.003,0.995,N
1.005,1.003,N
1.014,1.005,N
0.97,1.014,N
0.933,0.97,N
0.928,0.933,N
0.952,0.928,N
0.975,0.952,N
1.034,0.975,N
0.969,1.034,N
0.886,0.969,N
0.928,0.886,N
0.995,0.928,N
1.002,0.995,N
1.0,1.002,N
0.923,1.0,N
0.861,0.923,N
0.858,0.861,N
0.867,0.858,N
0.83,0.867,N
0.847,0.83,N
0.848,0.847,N
0.816,0.848,N
0.803,0.816,N
0.814,0.803,N
0.869,0.814,N
0.945,0.869,N
1.047,0.945,N
1.033,1.047,N
0.956,1.033,N
0.969,0.956,N
0.956,0.969,N
1.011,0.956,N
1.095,1.011,N
1.027,1.095,N
0.975,1.027,N
0.967,0.975,N
0.997,0.967,N
1.003,0.997,N
1.011,1.003,N
0.989,1.011,N
0.931,0.989,N
0.936,0.931,N
0.964,0.936,N
1.011,0.964,N
1.002,1.011,N
1.017,1.002,N
0.947,1.017,N
0.928,0.947,N
1.0,0.928,N
0.995,1.0,N
0.986,0.995,N
0.989,0.986,N
0.944,0.989,N
0.814,0.944,N
0.872,0.814,N
0.961,0.872,N
1.014,0.961,N
1.006,1.014,N
0.916,1.006,N
0.875,0.916,N
0.861,0.875,N
0.909,0.861,N
0.905,0.909,N
0.9,0.905,N
0.909,0.9,N
0.916,0.909,N
0.914,0.916,N
0.911,0.914,N
0.942,0.911,N
0.981,0.942,N
1.041,0.981,N
1.0,1.041,N
0.967,1.0,N
1.033,0.967,N
1.092,1.033,N
1.117,1.092,N
1.058,1.117,N
1.014,1.058,N
0.997,1.014,N
0.961,0.997,N
1.003,0.961,N
0.997,1.003,N
0.931,0.997,N
0.919,0.931,N
0.889,0.919,N
0.856,0.889,N
0.886,0.856,N
0.889,0.886,N
0.902,0.889,N
0.859,0.902,N
0.805,0.859,N
0.831,0.805,N
0.819,0.831,N
0.9,0.819,N
0.942,0.9,N
0.911,0.942,N
0.908,0.911,N
0.936,0.908,N
0.884,0.936,N
0.836,0.884,N
0.85,0.836,N
0.922,0.85,N
0.945,0.922,N
0.955,0.945,N
0.928,0.955,N
0.839,0.928,N
0.886,0.839,N
0.958,0.886,N
0.97,0.958,N
0.936,0.97,N
0.903,0.936,N
0.894,0.903,N
0.906,0.894,N
0.894,0.906,N
0.936,0.894,N
0.97,0.936,N
0.991,0.97,N
0.928,0.991,N
0.906,0.928,N
0.875,0.906,N
0.908,0.875,N
0.961,0.908,N
0.975,0.961,N
0.867,0.975,N
0.889,0.867,N
0.919,0.889,N
1.0,0.919,N
1.003,1.0,N
0.953,1.003,N
0.886,0.953,N
0.819,0.886,N
0.803,0.819,N
0.855,0.803,N
0.953,0.855,N
0.978,0.953,N
1.017,0.978,N
1.016,1.017,N
1.009,1.016,N
0.952,1.009,N
0.995,0.952,N
0.997,0.995,N
0.931,0.997,N
0.95,0.931,N
0.922,0.95,N
0.936,0.922,N
0.989,0.936,N
0.972,0.989,N
0.947,0.972,N
0.928,0.947,N
0.825,0.928,N
0.817,0.825,N
0.828,0.817,N
0.872,0.828,N
0.85,0.872,N
0.85,0.85,N
0.83,0.85,N
0.831,0.83,N
0.822,0.831,N
0.795,0.822,N
0.833,0.795,N
0.861,0.833,N
0.833,0.861,N
0.85,0.833,N
0.77,0.85,N
0.786,0.77,N
0.817,0.786,N
0.847,0.817,N
0.991,0.847,N
0.984,0.991,N
0.925,0.984,N
0.861,0.925,N
0.805,0.861,N
0.839,0.805,N
0.814,0.839,N
0.867,0.814,N
0.908,0.867,N
0.864,0.908,N
0.853,0.864,N
0.847,0.853,N
0.517,0.847,V
1.119,0.517,N
0.839,1.119,N
0.839,0.839,N
0.808,0.839,N
0.5,0.808,V
1.045,0.5,N
0.497,1.045,V
1.097,0.497,N
0.506,1.097,V
1.144,0.506,N
0.809,1.144,N
0.508,0.809,V
1.083,0.508,N
0.489,1.083,V
1.192,0.489,N
0.811,1.192,N
0.775,0.811,N
0.867,0.775,N
0.522,0.867,V
1.047,0.522,N
0.75,1.047,N
0.731,0.75,N
0.477,0.731,V
0.47,0.477,V
1.214,0.47,N
0.808,1.214,N
0.497,0.808,V
1.072,0.497,N
0.484,1.072,V
1.039,0.484,N
0.783,1.039,N
0.819,0.783,N
0.52,0.819,V
1.136,0.52,N
0.775,1.136,N
0.489,0.775,V
0.472,0.489,V
1.061,0.472,N
0.503,1.061,V
1.033,0.503,N
0.748,1.033,N
0.513,0.748,V
0.512,0.513,V
1.047,0.512,N
0.475,1.047,V
0.903,0.475,N
0.522,0.903,V
0.93,0.522,N
0.536,0.93,V
0.9,0.536,N
0.506,0.9,V
0.894,0.506,N
0.484,0.894,V
0.85,0.484,N
0.458,0.85,V
0.897,0.458,N
0.478,0.897,V
0.997,0.478,N
0.484,0.997,V
0.997,0.484,N
0.472,0.997,V
0.92,0.472,N
0.45,0.92,V
0.972,0.45,N
0.486,0.972,V
1.017,0.486,N
0.5,1.017,V
1.027,0.5,N
0.461,1.027,V
0.95,0.461,N
0.473,0.95,V
0.905,0.473,N
0.525,0.905,V
0.911,0.525,N
0.489,0.911,V
0.942,0.489,N
0.494,0.942,V
0.914,0.494,N
0.456,0.914,V
0.914,0.456,N
0.455,0.914,V
0.972,0.455,N
0.503,0.972,V
0.989,0.503,N
0.478,0.989,V
0.911,0.478,N
0.444,0.911,V
0.862,0.444,N
0.444,0.862,V
0.911,0.444,N
0.481,0.911,V
0.908,0.481,N
0.481,0.908,V
0.897,0.481,N
0.458,0.897,V
0.883,0.458,N
0.442,0.883,V
0.936,0.442,N
0.442,0.936,V
0.978,0.442,N
0.472,0.978,V
0.955,0.472,N
0.481,0.955,V
0.869,0.481,N
0.439,0.869,V
0.864,0.439,N
0.472,0.864,V
0.937,0.472,N
0.477,0.937,V
0.939,0.477,N
0.456,0.939,V
0.916,0.456,N
0.428,0.916,V
0.889,0.428,N
0.453,0.889,V
0.922,0.453,N
0.464,0.922,V
0.978,0.464,N
0.48,0.978,V
1.014,0.48,N
0.45,1.014,V
0.967,0.45,N
0.442,0.967,V
0.986,0.442,N
0.477,0.986,V
1.056,0.477,N
0.503,1.056,V
0.98,0.503,N
0.461,0.98,V
0.895,0.461,N
0.469,0.895,V
0.917,0.469,N
0.489,0.917,V
0.936,0.489,N
0.497,0.936,V
0.928,0.497,N
0.475,0.928,V
0.894,0.475,N
0.464,0.894,V
0.923,0.464,N
0.463,0.923,V
1.009,0.463,N
0.483,1.009,V
1.061,0.483,N
0.52,1.061,V
0.93,0.52,N
0.497,0.93,V
0.906,0.497,N
0.514,0.906,V
0.925,0.514,N
0.553,0.925,V
0.944,0.553,N
0.497,0.944,V
0.973,0.497,N
0.463,0.973,V
0.981,0.463,N
0.469,0.981,V
1.078,0.469,N
0.495,1.078,V
1.158,0.495,N
0.497,1.158,V
1.134,0.497,N
0.466,1.134,V
1.122,0.466,N
0.484,1.122,V
1.269,0.484,N
0.511,1.269,V
1.192,0.511,N
0.492,1.192,V
1.18,0.492,N
0.489,1.18,V
1.22,0.489,N
0.508,1.22,V
1.203,0.508,N
0.525,1.203,V
1.114,0.525,N
0.491,1.114,V
1.017,0.491,N
0.494,1.017,V
1.125,0.494,N
0.514,1.125,V
1.22,0.514,N
0.514,1.22,V
1.141,0.514,N
0.478,1.141,V
1.172,0.478,N
0.528,1.172,V
1.211,0.528,N
0.533,1.211,V
1.103,0.533,N
0.531,1.103,V
1.033,0.531,N
0.503,1.033,V
1.144,0.503,N
0.523,1.144,V
1.194,0.523,N
0.544,1.194,V
1.145,0.544,N
0.48,1.145,V
1.089,0.48,N
0.534,1.089,V
1.097,0.534,N
0.55,1.097,V
1.097,0.55,N
0.508,1.097,V
1.042,0.508,N
0.489,1.042,V
0.464,0.489,V
1.175,0.464,N
0.492,1.175,V
1.113,0.492,N
0.506,1.113,V
0.514,0.506,V
1.142,0.514,N
0.438,1.142,V
1.095,0.438,N
0.489,1.095,V
1.091,0.489,N
0.562,1.091,V
1.041,0.562,N
0.522,1.041,V
0.948,0.522,N
0.475,0.948,V
0.991,0.475,N
0.511,0.991,V
1.062,0.511,N
0.494,1.062,V
1.056,0.494,N
0.488,1.056,V
1.075,0.488,N
0.481,1.075,V
1.078,0.481,N
0.497,1.078,V
1.131,0.497,N
0.55,1.131,V
1.066,0.55,N
0.495,1.066,V
0.961,0.495,N
0.722,0.961,N
0.531,0.722,V
0.511,0.531,V
1.205,0.511,N
0.52,1.205,V
1.069,0.52,N
0.506,1.069,V
1.036,0.506,N
0.497,1.036,V
1.133,0.497,N
0.559,1.133,V
1.091,0.559,N
0.786,1.091,N
0.742,0.786,N
0.725,0.742,N
0.508,0.725,V
0.47,0.508,V
1.092,0.47,N
0.8,1.092,N
0.78,0.8,N
0.756,0.78,N
0.502,0.756,V
1.062,0.502,N
0.486,1.062,V
1.047,0.486,N
0.611,1.047,V
0.997,0.611,N
0.781,0.997,N
0.508,0.781,V
0.47,0.508,V
1.161,0.47,N
0.505,1.161,V
1.045,0.505,N
0.586,1.045,V
1.086,0.586,N
0.783,1.086,N
0.822,0.783,N
0.817,0.822,N
0.861,0.817,N
0.492,0.861,V
1.239,0.492,N
0.947,1.239,N
0.897,0.947,N
0.909,0.897,N
0.975,0.909,N
0.891,0.975,N
0.917,0.891,N
0.969,0.917,N
0.942,0.969,N
0.897,0.942,N
0.886,0.897,N
0.834,0.886,N
0.864,0.834,N
0.875,0.864,N
0.911,0.875,N
0.88,0.911,N
0.817,0.88,N
0.817,0.817,N
0.811,0.817,N
0.8,0.811,N
0.877,0.8,N
0.898,0.877,N
0.866,0.898,N
0.886,0.866,N
0.873,0.886,N
0.841,0.873,N
0.875,0.841,N
0.953,0.875,N
0.931,0.953,N
0.947,0.931,N
0.953,0.947,N
0.864,0.953,N
0.888,0.864,N
0.953,0.888,N
0.936,0.953,N
0.942,0.936,N
0.897,0.942,N
0.878,0.897,N
0.883,0.878,N
0.828,0.883,N
0.883,0.828,N
0.931,0.883,N
0.906,0.931,N
0.911,0.906,N
0.864,0.911,N
0.813,0.864,N
0.789,0.813,N
0.75,0.789,N
0.8,0.75,N
0.823,0.8,N
0.561,0.823,V
0.461,0.561,V
1.091,0.461,N
0.503,1.091,V
0.978,0.503,N
0.556,0.978,V
0.95,0.556,N
0.508,0.95,V
0.978,0.508,N
0.55,0.978,V
0.93,0.55,N
0.686,0.93,N
0.498,0.686,V
0.45,0.498,V
1.13,0.45,N
0.55,1.13,V
1.092,0.55,N
0.753,1.092,N
0.738,0.753,N
0.489,0.738,V
0.42,0.489,V
1.219,0.42,N
0.547,1.219,V
1.148,0.547,N
0.539,1.148,V
1.105,0.539,N
0.736,1.105,N
0.722,0.736,N
0.734,0.722,N
0.758,0.734,N
0.845,0.758,N
0.861,0.845,N
0.519,0.861,V
1.117,0.519,N
0.8,1.117,N
0.753,0.8,N
0.841,0.753,N
0.939,0.841,N
0.547,0.939,V
1.167,0.547,N
0.847,1.167,N
0.784,0.847,N
0.516,0.784,V
0.461,0.516,V
1.203,0.461,N
0.542,1.203,V
1.166,0.542,N
0.823,1.166,N
0.758,0.823,N
0.494,0.758,V
0.437,0.494,V
1.175,0.437,N
0.53,1.175,V
1.228,0.53,N
0.83,1.228,N
0.803,0.83,N
0.781,0.803,N
0.766,0.781,N
0.767,0.766,N
0.789,0.767,N
0.85,0.789,N
0.822,0.85,N
0.809,0.822,N
0.836,0.809,N
0.814,0.836,N
0.769,0.814,N
0.764,0.769,N
0.819,0.764,N
0.875,0.819,N
0.864,0.875,N
0.806,0.864,N
0.786,0.806,N
0.797,0.786,N
0.811,0.797,N
0.839,0.811,N
0.85,0.839,N
0.839,0.85,N
0.806,0.839,N
0.822,0.806,N
0.858,0.822,N
0.847,0.858,N
0.875,0.847,N
0.914,0.875,N
0.881,0.914,N
0.905,0.881,N
0.873,0.905,N
0.802,0.873,N
0.911,0.802,N
0.992,0.911,N
0.97,0.992,N
0.869,0.97,N
0.847,0.869,N
0.778,0.847,N
0.806,0.778,N
0.872,0.806,N
0.953,0.872,N
0.916,0.953,N
0.995,0.916,N
0.989,0.995,N
0.902,0.989,N
0.964,0.902,N
1.003,0.964,N
0.608,1.003,V
1.325,0.608,N
0.559,1.325,V
1.136,0.559,N
0.828,1.136,N
0.833,0.828,N
0.936,0.833,N
0.55,0.936,V
0.483,0.55,V
1.284,0.483,N
0.491,1.284,V
1.228,0.491,N
0.495,1.228,V
0.458,0.495,V
1.3,0.458,N
0.555,1.3,V
1.298,0.555,N
0.497,1.298,V
1.178,0.497,N
0.505,1.178,V
1.264,0.505,N
0.531,1.264,V
1.383,0.531,N
0.508,1.383,V
1.248,0.508,N
0.508,1.248,V
1.28,0.508,N
0.506,1.28,V
1.389,0.506,N
0.522,1.389,V
1.336,0.522,N
0.495,1.336,V
1.255,0.495,N
0.547,1.255,V
1.353,0.547,N
0.556,1.353,V
1.278,0.556,N
0.961,1.278,N
0.891,0.961,N
0.525,0.891,V
0.503,0.525,V
1.364,0.503,N
0.547,1.364,V
1.334,0.547,N
0.544,1.334,V
0.467,0.544,V
1.208,0.467,N
0.539,1.208,V
1.28,0.539,N
0.556,1.28,V
1.283,0.556,N
0.914,1.283,N
0.503,0.914,V
1.228,0.503,N
0.953,1.228,N
0.575,0.953,V
0.519,0.575,V
1.258,0.519,N
0.545,1.258,V
1.2,0.545,N
0.514,1.2,V
1.247,0.514,N
0.542,1.247,V
1.322,0.542,N
0.966,1.322,N
0.512,0.966,V
0.494,0.512,V
1.269,0.494,N
0.514,1.269,V
1.37,0.514,N
1.044,1.37,N
0.947,1.044,N
0.987,0.947,N
0.538,0.987,V
1.32,0.538,N
1.075,1.32,N
0.997,1.075,N
1.05,0.997,N
0.539,1.05,V
1.253,0.539,N
0.975,1.253,N
0.58,0.975,V
0.534,0.58,V
1.341,0.534,N
0.556,1.341,V
1.211,0.556,N
0.514,1.211,V
1.244,0.514,N
0.62,1.244,V
1.294,0.62,N
0.947,1.294,N
0.545,0.947,V
0.494,0.545,V
1.217,0.494,N
0.506,1.217,V
1.286,0.506,N
0.922,1.286,N
0.55,0.922,V
0.508,0.55,V
1.195,0.508,N
0.48,1.195,V
1.247,0.48,N
0.537,1.247,V
1.272,0.537,N
0.536,1.272,V
1.236,0.536,N
0.5,1.236,V
1.164,0.5,N
0.508,1.164,V
1.236,0.508,N
0.536,1.236,V
1.303,0.536,N
0.5,1.303,V
1.189,0.5,N
0.497,1.189,V
1.27,0.497,N
0.539,1.27,V
1.33,0.539,N
0.525,1.33,V
1.242,0.525,N
0.497,1.242,V
1.267,0.497,N
0.544,1.267,V
1.284,0.544,N
0.541,1.284,V
1.264,0.541,N
0.508,1.264,V
1.22,0.508,N
0.5,1.22,V
1.292,0.5,N
0.555,1.292,V
1.3,0.555,N
0.508,1.3,V
1.237,0.508,N
0.488,1.237,V
1.25,0.488,N
0.548,1.25,V
1.311,0.548,N
0.511,1.311,V
1.253,0.511,N
0.508,1.253,V
1.197,0.508,N
0.5,1.197,V
1.325,0.5,N
0.522,1.325,V
1.281,0.522,N
0.514,1.281,V
1.228,0.514,N
0.5,1.228,V
1.339,0.5,N
0.541,1.339,V
1.306,0.541,N
0.511,1.306,V
1.197,0.511,N
0.508,1.197,V
1.228,0.508,N
0.542,1.228,V
1.242,0.542,N
0.963,1.242,N
0.964,0.963,N
0.531,0.964,V
1.192,0.531,N
0.938,1.192,N
0.989,0.938,N
0.956,0.989,N
0.555,0.956,V
1.228,0.555,N
0.964,1.228,N
0.964,0.964,N
0.997,0.964,N
1.009,0.997,N
0.991,1.009,N
0.959,0.991,N
1.008,0.959,N
0.547,1.008,V
1.314,0.547,N
1.114,1.314,N
1.036,1.114,N
1.017,1.036,N
1.016,1.017,N
0.539,1.016,V
1.334,0.539,N
1.075,1.334,N
0.566,1.075,V
1.267,0.566,N
1.03,1.267,N
0.534,1.03,V
1.316,0.534,N
0.57,1.316,V
1.272,0.57,N
